강,접수번호,국   명,천연기념물,멸종 위기종,구조 일자,구조결과일자,구조 결과,발견장소 특징,기준일자
조강(Aves),2021-0670,집비둘기,해당없음,해당없음,2021-09-08,2021-09-09,DOA,건물옆,2021-09-13
조강(Aves),2021-0671,참새,해당없음,해당없음,2021-09-09,2021-09-09,DOA,건물옆,2021-09-13
조강(Aves),2021-0672,멧비둘기,해당없음,해당없음,2021-09-10,2021-09-10,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0673,고라니,해당없음,해당없음,2021-09-12,2021-09-12,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0674,고라니,해당없음,해당없음,2021-09-12,2021-09-12,계류,도로변,2021-09-13
조강(Aves),2021-0675,큰유리새,해당없음,해당없음,2021-09-13,2021-09-13,계류,건물옆,2021-09-13
조강(Aves),2021-0676,집비둘기,해당없음,해당없음,2021-09-13,2021-09-13,계류,건물옆,2021-09-13
조강(Aves),2021-0677,집비둘기,해당없음,해당없음,2021-09-13,2021-09-13,안락사,건물옆,2021-09-13
조강(Aves),2021-0678,뻐꾸기,해당없음,해당없음,2021-09-13,2021-09-13,계류,건물옆,2021-09-13
조강(Aves),2021-0679,솔새,해당없음,해당없음,2021-09-13,2021-09-13,계류,건물옆,2021-09-13
