강,접수번호,국   명,천연기념물,멸종 위기종,구조 일자,구조결과일자,구조 결과,발견장소 특징,기준일자
조강(Aves),2021-0363,집비둘기,해당없음,해당없음,2021-06-11,2021-06-22,안락사,기타,2021-09-13
조강(Aves),2021-0364,박새,해당없음,해당없음,2021-06-11,2021-06-12,DOA,건물옆,2021-09-13
조강(Aves),2021-0365,황조롱이,323-8,해당없음,2021-06-11,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0366,큰부리까마귀,해당없음,해당없음,2021-06-11,2021-08-31,폐사,기타,2021-09-13
포유강(Mammalia),2021-0367,고라니,해당없음,해당없음,2021-06-12,2021-06-12,방생,농경지,2021-09-13
조강(Aves),2021-0368,황조롱이,323-8,해당없음,2021-06-12,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0369,참새,해당없음,해당없음,2021-06-12,2021-06-12,DOA,건물옆,2021-09-13
조강(Aves),2021-0370,집비둘기,해당없음,해당없음,2021-06-13,2021-06-14,안락사,건물옆,2021-09-13
조강(Aves),2021-0371,집비둘기,해당없음,해당없음,2021-06-13,2021-06-13,DOA,건물옆,2021-09-13
조강(Aves),2021-0372,큰부리까마귀,해당없음,해당없음,2021-06-13,2021-08-14,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0373,고라니,해당없음,해당없음,2021-06-13,2021-06-14,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0374,고라니,해당없음,해당없음,2021-06-14,2021-06-19,폐사,건물옆,2021-09-13
조강(Aves),2021-0375,박새,해당없음,해당없음,2021-06-14,2021-06-14,방생,건물옆,2021-09-13
조강(Aves),2021-0376,박새,해당없음,해당없음,2021-06-14,2021-06-14,방생,건물옆,2021-09-13
조강(Aves),2021-0377,박새,해당없음,해당없음,2021-06-14,2021-06-14,방생,건물옆,2021-09-13
조강(Aves),2021-0378,흰뺨검둥오리,해당없음,해당없음,2021-06-14,2021-06-25,안락사,건물옆,2021-09-13
조강(Aves),2021-0379,참새,해당없음,해당없음,2021-06-14,2021-06-22,폐사,건물옆,2021-09-13
조강(Aves),2021-0380,까치,해당없음,해당없음,2021-06-15,2021-08-01,폐사,건물옆,2021-09-13
조강(Aves),2021-0381,황조롱이,323-8,해당없음,2021-06-15,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0382,큰부리까마귀,해당없음,해당없음,2021-06-15,2021-07-16,폐사,건물옆,2021-09-13
조강(Aves),2021-0383,흰뺨검둥오리,해당없음,해당없음,2021-06-16,2021-06-17,안락사,농경지,2021-09-13
조강(Aves),2021-0384,집비둘기,해당없음,해당없음,2021-06-17,2021-06-17,DOA,건물옆,2021-09-13
조강(Aves),2021-0385,제비,해당없음,해당없음,2021-06-17,2021-06-17,계류,건물옆,2021-09-13
조강(Aves),2021-0386,참새,해당없음,해당없음,2021-06-17,2021-06-20,폐사,건물옆,2021-09-13
조강(Aves),2021-0387,솔부엉이,324-3,해당없음,2021-06-17,2021-08-14,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0388,고라니,해당없음,해당없음,2021-06-18,2021-06-18,DOA,농경지,2021-09-13
조강(Aves),2021-0389,제비,해당없음,해당없음,2021-06-17,2021-06-18,DOA,건물옆,2021-09-13
조강(Aves),2021-0390,방울새,해당없음,해당없음,2021-06-17,2021-06-20,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0391,고라니,해당없음,해당없음,2021-06-18,2021-06-18,방생,건물옆,2021-09-13
조강(Aves),2021-0392,오색딱다구리,해당없음,해당없음,2021-06-18,2021-07-12,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0393,노루,해당없음,해당없음,2021-06-18,2021-06-18,안락사,숲,2021-09-13
조강(Aves),2021-0394,황조롱이,323-8,해당없음,2021-06-18,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0395,참새,해당없음,해당없음,2021-06-18,2021-06-18,방생,건물옆,2021-09-13
조강(Aves),2021-0396,집비둘기,해당없음,해당없음,2021-06-18,2021-06-18,안락사,건물옆,2021-09-13
조강(Aves),2021-0397,황조롱이,323-8,해당없음,2021-06-19,2021-06-20,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0398,고라니,해당없음,해당없음,2021-06-20,2021-06-20,방생,건물옆,2021-09-13
조강(Aves),2021-0399,참새,해당없음,해당없음,2021-06-21,2021-06-23,안락사,건물옆,2021-09-13
조강(Aves),2021-0400,큰부리까마귀,해당없음,해당없음,2021-06-21,2021-06-21,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0401,고라니,해당없음,해당없음,2021-06-21,2021-06-21,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0402,족제비,해당없음,해당없음,2021-06-21,2021-06-21,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0403,고라니,해당없음,해당없음,2021-06-21,2021-06-21,DOA,도로변,2021-09-13
조강(Aves),2021-0404,까치,해당없음,해당없음,2021-06-21,2021-07-08,폐사,도로변,2021-09-13
조강(Aves),2021-0405,까치,해당없음,해당없음,2021-06-21,2021-06-21,방생,도로변,2021-09-13
조강(Aves),2021-0406,방울새,해당없음,해당없음,2021-06-22,2021-07-08,폐사,건물옆,2021-09-13
조강(Aves),2021-0407,집비둘기,해당없음,해당없음,2021-06-22,2021-06-22,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0408,고라니,해당없음,해당없음,2021-06-22,2021-06-23,안락사,건물옆,2021-09-13
조강(Aves),2021-0409,직박구리,해당없음,해당없음,2021-06-22,2021-06-23,안락사,건물옆,2021-09-13
조강(Aves),2021-0410,박새,해당없음,해당없음,2021-06-22,2021-07-07,폐사,건물옆,2021-09-13
조강(Aves),2021-0411,오색딱다구리,해당없음,해당없음,2021-06-22,2021-06-23,DOA,도로변,2021-09-13
조강(Aves),2021-0412,참새,해당없음,해당없음,2021-06-23,2021-06-23,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0413,족제비,해당없음,해당없음,2021-06-23,2021-07-12,방생,도로변,2021-09-13
포유강(Mammalia),2021-0414,너구리,해당없음,해당없음,2021-06-23,2021-06-23,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0415,고라니,해당없음,해당없음,2021-06-23,2021-06-25,폐사,숲,2021-09-13
포유강(Mammalia),2021-0416,고라니,해당없음,해당없음,2021-06-23,2021-06-23,DOA,숲,2021-09-13
조강(Aves),2021-0417,까치,해당없음,해당없음,2021-06-23,2021-06-23,방생,건물옆,2021-09-13
조강(Aves),2021-0418,박새,해당없음,해당없음,2021-06-23,2021-06-24,DOA,건물옆,2021-09-13
조강(Aves),2021-0419,황로,해당없음,해당없음,2021-06-24,2021-06-25,안락사,농경지,2021-09-13
조강(Aves),2021-0420,까치,해당없음,해당없음,2021-06-24,2021-06-25,DOA,기타,2021-09-13
조강(Aves),2021-0421,까치,해당없음,해당없음,2021-06-24,2021-06-25,DOA,도로변,2021-09-13
조강(Aves),2021-0422,까치,해당없음,해당없음,2021-06-25,2021-06-25,안락사,건물옆,2021-09-13
조강(Aves),2021-0423,흰뺨검둥오리,해당없음,해당없음,2021-06-25,2021-06-26,DOA,건물옆,2021-09-13
조강(Aves),2021-0424,청딱다구리,해당없음,해당없음,2021-06-26,2021-06-29,안락사,건물옆,2021-09-13
조강(Aves),2021-0425,곤줄박이,해당없음,해당없음,2021-06-25,2021-06-26,DOA,건물옆,2021-09-13
조강(Aves),2021-0426,참새,해당없음,해당없음,2021-06-26,2021-08-20,안락사,도로변,2021-09-13
조강(Aves),2021-0427,직박구리,해당없음,해당없음,2021-06-27,2021-07-09,폐사,건물옆,2021-09-13
조강(Aves),2021-0428,제비,해당없음,해당없음,2021-06-27,2021-08-01,폐사,건물옆,2021-09-13
조강(Aves),2021-0429,까치,해당없음,해당없음,2021-06-27,2021-08-03,폐사,건물옆,2021-09-13
조강(Aves),2021-0430,소쩍새,324-6,해당없음,2021-06-27,2021-06-28,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0431,고라니,해당없음,해당없음,2021-06-28,2021-06-28,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0432,고라니,해당없음,해당없음,2021-06-28,2021-06-29,안락사,농경지,2021-09-13
조강(Aves),2021-0433,직박구리,해당없음,해당없음,2021-06-28,2021-06-29,안락사,건물옆,2021-09-13
조강(Aves),2021-0434,오색딱다구리,해당없음,해당없음,2021-06-28,2021-07-07,방생,건물옆,2021-09-13
조강(Aves),2021-0435,쇠딱다구리,해당없음,해당없음,2021-06-27,2021-06-28,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0436,고라니,해당없음,해당없음,2021-06-29,2021-06-29,안락사,숲,2021-09-13
조강(Aves),2021-0437,참새,해당없음,해당없음,2021-06-29,2021-06-29,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0438,고라니,해당없음,해당없음,2021-06-30,2021-06-30,DOA,도로변,2021-09-13
조강(Aves),2021-0439,딱새,해당없음,해당없음,2021-06-30,2021-06-30,DOA,건물옆,2021-09-13
조강(Aves),2021-0440,꿩,해당없음,해당없음,2021-07-01,2021-07-12,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0441,고라니,해당없음,해당없음,2021-07-01,2021-07-01,방생,농경지,2021-09-13
포유강(Mammalia),2021-0442,고라니,해당없음,해당없음,2021-07-01,2021-07-01,방생,농경지,2021-09-13
조강(Aves),2021-0443,직박구리,해당없음,해당없음,2021-07-01,2021-07-04,폐사,건물옆,2021-09-13
조강(Aves),2021-0444,황조롱이,323-8,해당없음,2021-07-01,2021-08-05,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0445,고라니,해당없음,해당없음,2021-07-01,2021-07-14,안락사,도로변,2021-09-13
조강(Aves),2021-0446,까치,해당없음,해당없음,2021-07-02,2021-07-02,안락사,농경지,2021-09-13
조강(Aves),2021-0447,딱새,해당없음,해당없음,2021-07-02,2021-07-10,안락사,건물옆,2021-09-13
조강(Aves),2021-0448,딱새,해당없음,해당없음,2021-07-02,2021-07-11,폐사,건물옆,2021-09-13
조강(Aves),2021-0449,참새,해당없음,해당없음,2021-07-02,2021-07-10,방생,건물옆,2021-09-13
조강(Aves),2021-0450,멧비둘기,해당없음,해당없음,2021-07-02,2021-08-14,방생,건물옆,2021-09-13
조강(Aves),2021-0451,흰뺨검둥오리,해당없음,해당없음,2021-07-03,2021-08-24,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0452,고라니,해당없음,해당없음,2021-07-03,2021-07-03,DOA,농경지,2021-09-13
조강(Aves),2021-0453,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0454,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-09-13,방생,도로변,2021-09-13
조강(Aves),2021-0455,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0456,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0457,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0458,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-07-06,폐사,도로변,2021-09-13
조강(Aves),2021-0459,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0460,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0461,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0462,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-08-26,방생,도로변,2021-09-13
조강(Aves),2021-0463,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-09-13,방생,도로변,2021-09-13
조강(Aves),2021-0464,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-09-06,방생,도로변,2021-09-13
조강(Aves),2021-0465,흰뺨검둥오리,해당없음,해당없음,2021-07-04,2021-09-13,방생,도로변,2021-09-13
조강(Aves),2021-0466,참새,해당없음,해당없음,2021-07-04,2021-08-15,폐사,기타,2021-09-13
조강(Aves),2021-0467,직박구리,해당없음,해당없음,2021-07-04,2021-07-07,방생,건물옆,2021-09-13
조강(Aves),2021-0468,멧비둘기,해당없음,해당없음,2021-07-04,2021-08-14,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0469,고라니,해당없음,해당없음,2021-07-05,2021-07-05,안락사,도로변,2021-09-13
조강(Aves),2021-0470,집비둘기,해당없음,해당없음,2021-07-05,2021-07-05,DOA,건물옆,2021-09-13
조강(Aves),2021-0471,파랑새,해당없음,해당없음,2021-07-05,2021-07-10,방생,도로변,2021-09-13
조강(Aves),2021-0472,딱새,해당없음,해당없음,2021-07-05,2021-07-06,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0473,고라니,해당없음,해당없음,2021-07-06,2021-07-06,안락사,도로변,2021-09-13
조강(Aves),2021-0474,직박구리,해당없음,해당없음,2021-07-06,2021-07-09,폐사,건물옆,2021-09-13
조강(Aves),2021-0475,직박구리,해당없음,해당없음,2021-07-06,2021-07-16,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0476,너구리,해당없음,해당없음,2021-07-06,2021-08-14,방생,농경지,2021-09-13
조강(Aves),2021-0477,직박구리,해당없음,해당없음,2021-07-06,2021-07-06,DOA,도로변,2021-09-13
조강(Aves),2021-0478,제비,해당없음,해당없음,2021-07-06,2021-07-07,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0479,고라니,해당없음,해당없음,2021-07-07,2021-07-07,안락사,도로변,2021-09-13
조강(Aves),2021-0480,황조롱이,323-8,해당없음,2021-07-07,2021-07-17,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0481,고라니,해당없음,해당없음,2021-07-07,2021-07-07,방생,건물옆,2021-09-13
조강(Aves),2021-0482,직박구리,해당없음,해당없음,2021-07-07,2021-07-14,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0483,고라니,해당없음,해당없음,2021-07-07,2021-07-07,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0484,고라니,해당없음,해당없음,2021-07-07,2021-07-07,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0485,너구리,해당없음,해당없음,2021-07-08,2021-07-23,방생,강 바다,2021-09-13
조강(Aves),2021-0486,직박구리,해당없음,해당없음,2021-07-09,2021-07-09,DOA,기타,2021-09-13
조강(Aves),2021-0487,직박구리,해당없음,해당없음,2021-07-09,2021-07-09,DOA,기타,2021-09-13
조강(Aves),2021-0488,중백로,해당없음,해당없음,2021-07-09,2021-07-09,DOA,강 바다,2021-09-13
조강(Aves),2021-0489,참새,해당없음,해당없음,2021-07-10,2021-07-10,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0490,고라니,해당없음,해당없음,2021-07-10,2021-08-18,폐사,기타,2021-09-13
조강(Aves),2021-0491,꿩,해당없음,해당없음,2021-07-10,2021-08-03,폐사,숲,2021-09-13
조강(Aves),2021-0492,꿩,해당없음,해당없음,2021-07-10,2021-07-24,폐사,숲,2021-09-13
조강(Aves),2021-0493,꿩,해당없음,해당없음,2021-07-10,2021-08-06,폐사,숲,2021-09-13
조강(Aves),2021-0494,꿩,해당없음,해당없음,2021-07-10,2021-07-25,폐사,숲,2021-09-13
조강(Aves),2021-0495,꿩,해당없음,해당없음,2021-07-10,2021-07-11,폐사,숲,2021-09-13
조강(Aves),2021-0496,꿩,해당없음,해당없음,2021-07-10,2021-07-12,안락사,숲,2021-09-13
조강(Aves),2021-0497,꿩,해당없음,해당없음,2021-07-10,2021-07-11,폐사,숲,2021-09-13
포유강(Mammalia),2021-0498,너구리,해당없음,해당없음,2021-07-10,2021-08-14,방생,강 바다,2021-09-13
조강(Aves),2021-0499,참새,해당없음,해당없음,2021-07-10,2021-07-10,방생,건물옆,2021-09-13
조강(Aves),2021-0500,참새,해당없음,해당없음,2021-07-10,2021-07-12,폐사,도로변,2021-09-13
조강(Aves),2021-0501,참새,해당없음,해당없음,2021-07-10,2021-07-12,폐사,건물옆,2021-09-13
조강(Aves),2021-0502,중백로,해당없음,해당없음,2021-07-12,2021-07-12,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0503,고라니,해당없음,해당없음,2021-07-13,2021-07-13,안락사,도로변,2021-09-13
조강(Aves),2021-0504,참새,해당없음,해당없음,2021-07-14,2021-07-22,방생,도로변,2021-09-13
조강(Aves),2021-0505,제비,해당없음,해당없음,2021-07-14,2021-07-14,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0506,고라니,해당없음,해당없음,2021-07-14,2021-07-15,DOA,도로변,2021-09-13
조강(Aves),2021-0507,직박구리,해당없음,해당없음,2021-07-15,2021-07-15,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0508,고라니,해당없음,해당없음,2021-07-15,2021-07-15,DOA,농경지,2021-09-13
조강(Aves),2021-0509,집비둘기,해당없음,해당없음,2021-07-15,2021-07-15,안락사,도로변,2021-09-13
조강(Aves),2021-0510,청딱다구리,해당없음,해당없음,2021-07-15,2021-07-16,DOA,건물옆,2021-09-13
조강(Aves),2021-0511,박새,해당없음,해당없음,2021-07-16,2021-07-16,DOA,건물옆,2021-09-13
조강(Aves),2021-0512,까치,해당없음,해당없음,2021-07-16,2021-07-16,DOA,건물옆,2021-09-13
조강(Aves),2021-0513,집비둘기,해당없음,해당없음,2021-07-16,2021-07-17,안락사,건물옆,2021-09-13
조강(Aves),2021-0514,참새,해당없음,해당없음,2021-07-17,2021-07-17,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0515,너구리,해당없음,해당없음,2021-07-17,2021-07-18,폐사,도로변,2021-09-13
포유강(Mammalia),2021-0516,너구리,해당없음,해당없음,2021-07-17,2021-07-18,폐사,도로변,2021-09-13
포유강(Mammalia),2021-0517,너구리,해당없음,해당없음,2021-07-17,2021-07-17,DOA,숲,2021-09-13
조강(Aves),2021-0518,집비둘기,해당없음,해당없음,2021-07-17,2021-07-17,안락사,도로변,2021-09-13
조강(Aves),2021-0519,검은댕기해오라기,해당없음,해당없음,2021-07-18,2021-07-19,폐사,건물옆,2021-09-13
조강(Aves),2021-0520,큰부리까마귀,해당없음,해당없음,2021-07-20,2021-07-20,안락사,건물옆,2021-09-13
조강(Aves),2021-0521,괭이갈매기,해당없음,해당없음,2021-07-19,2021-07-19,폐사체,강 바다,2021-09-13
조강(Aves),2021-0522,푸른얼굴얼가니새,해당없음,해당없음,2021-07-10,2021-08-24,안락사,건물옆,2021-09-13
조강(Aves),2021-0523,박새,해당없음,해당없음,2021-07-19,2021-07-19,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0524,고라니,해당없음,해당없음,2021-07-20,2021-07-21,안락사,농경지,2021-09-13
조강(Aves),2021-0525,집비둘기,해당없음,해당없음,2021-07-20,2021-07-20,DOA,건물옆,2021-09-13
조강(Aves),2021-0526,까치,해당없음,해당없음,2021-07-20,2021-08-10,폐사,건물옆,2021-09-13
조강(Aves),2021-0527,딱새,해당없음,해당없음,2021-07-20,2021-07-20,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0528,고라니,해당없음,해당없음,2021-07-21,2021-07-21,DOA,도로변,2021-09-13
조강(Aves),2021-0529,제비,해당없음,해당없음,2021-07-21,2021-08-01,폐사,건물옆,2021-09-13
조강(Aves),2021-0530,솔부엉이,324-3,해당없음,2021-07-22,2021-07-22,계류,도로변,2021-09-13
조강(Aves),2021-0531,집비둘기,해당없음,해당없음,2021-07-22,2021-07-26,안락사,건물옆,2021-09-13
조강(Aves),2021-0532,집비둘기,해당없음,해당없음,2021-07-22,2021-07-23,DOA,건물옆,2021-09-13
조강(Aves),2021-0533,집비둘기,해당없음,해당없음,2021-07-23,2021-07-29,안락사,건물옆,2021-09-13
조강(Aves),2021-0534,직박구리,해당없음,해당없음,2021-07-23,2021-07-27,안락사,건물옆,2021-09-13
조강(Aves),2021-0535,제비,해당없음,해당없음,2021-07-24,2021-08-04,안락사,건물옆,2021-09-13
조강(Aves),2021-0536,집비둘기,해당없음,해당없음,2021-07-24,2021-07-24,안락사,도로변,2021-09-13
조강(Aves),2021-0537,멧비둘기,해당없음,해당없음,2021-07-24,2021-08-14,방생,도로변,2021-09-13
포유강(Mammalia),2021-0538,다람쥐,해당없음,해당없음,2021-07-24,2021-07-25,폐사,건물옆,2021-09-13
조강(Aves),2021-0539,참매,323-1,2 급,2021-07-25,2021-07-29,폐사,건물옆,2021-09-13
조강(Aves),2021-0540,오색딱다구리,해당없음,해당없음,2021-07-25,2021-07-26,방생,건물옆,2021-09-13
조강(Aves),2021-0541,박새,해당없음,해당없음,2021-07-26,2021-07-26,안락사,건물옆,2021-09-13
조강(Aves),2021-0542,찌르레기,해당없음,해당없음,2021-07-26,2021-07-26,DOA,건물옆,2021-09-13
조강(Aves),2021-0543,직박구리,해당없음,해당없음,2021-07-26,2021-07-26,방생,건물옆,2021-09-13
조강(Aves),2021-0544,솔부엉이,324-3,해당없음,2021-07-26,2021-07-26,계류,도로변,2021-09-13
조강(Aves),2021-0545,직박구리,해당없음,해당없음,2021-07-27,2021-08-01,폐사,도로변,2021-09-13
포유강(Mammalia),2021-0546,고라니,해당없음,해당없음,2021-07-27,2021-07-27,안락사,도로변,2021-09-13
조강(Aves),2021-0547,직박구리,해당없음,해당없음,2021-07-27,2021-07-27,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0548,너구리,해당없음,해당없음,2021-07-28,2021-07-28,안락사,건물옆,2021-09-13
조강(Aves),2021-0549,참새,해당없음,해당없음,2021-07-28,2021-07-28,DOA,건물옆,2021-09-13
조강(Aves),2021-0550,집비둘기,해당없음,해당없음,2021-07-28,2021-07-29,안락사,건물옆,2021-09-13
조강(Aves),2021-0551,흰뺨검둥오리,해당없음,해당없음,2021-07-29,2021-09-13,방생,건물옆,2021-09-13
조강(Aves),2021-0552,흰뺨검둥오리,해당없음,해당없음,2021-07-29,2021-09-13,방생,건물옆,2021-09-13
조강(Aves),2021-0553,흰뺨검둥오리,해당없음,해당없음,2021-07-29,2021-08-26,폐사,건물옆,2021-09-13
조강(Aves),2021-0554,흰뺨검둥오리,해당없음,해당없음,2021-07-29,2021-09-13,방생,건물옆,2021-09-13
조강(Aves),2021-0555,흰뺨검둥오리,해당없음,해당없음,2021-07-29,2021-09-13,방생,건물옆,2021-09-13
조강(Aves),2021-0556,집비둘기,해당없음,해당없음,2021-07-29,2021-08-14,방생,건물옆,2021-09-13
조강(Aves),2021-0557,솔부엉이,324-3,해당없음,2021-07-29,2021-07-29,계류,건물옆,2021-09-13
조강(Aves),2021-0558,집비둘기,해당없음,해당없음,2021-07-30,2021-07-30,계류,건물옆,2021-09-13
포유강(Mammalia),2021-0559,고라니,해당없음,해당없음,2021-07-30,2021-07-31,DOA,도로변,2021-09-13
조강(Aves),2021-0560,집비둘기,해당없음,해당없음,2021-07-31,2021-09-02,방생,건물옆,2021-09-13
파충강(Reptilia),2021-0561,남생이,453,2 급,2021-07-31,2021-08-06,방생,건물옆,2021-09-13
조강(Aves),2021-0562,오색딱다구리,해당없음,해당없음,2021-08-01,2021-08-18,방생,건물옆,2021-09-13
조강(Aves),2021-0563,수리부엉이,324-2,2 급,2021-08-01,2021-08-18,방생,건물옆,2021-09-13
